VALUE_ON_SERIAL,STATE,CAPITAL,AREA(km^2),POPULATION,FOOD,TOURIST_ATTRACTION,MALE_FEMALE_RATIO,LITERACY_RATE
1,DELHI,NEW DELHI,"1,484",25 million,"paranthas, chaat, butter chicken","RED FORT, INDIA GATE, QUTUB MINAR",821,86.34
2,UTTAR PRADESH,LUCKNOW,"243,286",20.42 Crores,"veg kofta,curry and rice","ayodhya, Mathura, fatehpur sikri, agra",943,69.72
3,UTTARAKHAND,DEHRADUN,"53,483",1.01 crores,"KUMAONI RAITA, GAHAT KE PARATHE","RISHIKESH, HARIDWAR, MUSSOORIE, NAINITAL",963,79.63
4,ANDAMAN & NICOBAR ISLAND,PORT BLAIR,"8,250",3.81 lakhs,COCONUT PRAWN CURRY,"HAVELOCK ISLANDS ,BRATANY ISLAND, RADHANAGAR",777,86.27
5,ANDHRA PRADESH,AMARAVATI,"162,970","49,386,799","Rice, dal , sea food","Tirupati , Visakhapatnam, Nellore",993,67.4
6,CHATTISGARH,RAIPUR,"135,198",2.55 crores,"BARFI, SHEER KHURMA, DAL, JALEBI","TEERATHGARH, FALLS, INDRAVATI NATIONAL PARK",991,71.04
7,JHARKHAND,RANCHI,"79,714",3.19 crores,"DHUSKA, LITTI CHOKHA, PITTHA","JAMSHEDPUR,  RANCHI, DHANBAD",948,67.63
8,MADHYA PRADESH,BHOPAL,"308,252",7.33 crores,"DAAL BAATI, SEEKH , KEBABS, BHOPALI GHOSHT KORMA","BHOPAL, GWALIOR, INDORE",931,70.63
9,ARUNACHAL PRADESH,ITANAGAR,"83,743",1382611,Apong  (rice beer )\nThukpa\nMomos,"Parshuram Kund, Golden Pagoda, Namsai, Jawaharlal Nehru Museum",938,66.95
10,ASSAM,DISPUR,"78,438","31,205,576","Khaar, Duck meat curry, Pura, Pitika, Khorisa, masoor jool","Kaziranga National Park, Kamakhya Temple, Pobitora Wildlife Sanctuary, Umananda Island, Talatal Ghar",958,73.18
11,BIHAR,PATNA,"94,163","103,804,637","DHUSKA, LITTI CHOKHA, PITTHA","Vishnupadh temple, bodh gaya temple, sita kund, Buddha smriti park",918,63.82
12,CHANDIGARH,,114,10.6 lakhs,"Butter chicken, stuffed parantha and lassi","Rock Garden, Rose Garden, Open Hand Monument",818,86.43
